Parameter,Start,End,Freq Lower Bound (mHz),Freq Upper Bound (mHz),FHB,PG5,GHB,PG4,SKT,STF,PG3,ATU,PG2,GDH,UMQ,PG1,PG0,UPN,KUV,SVS,THL,Arctic Maximum,Arctic Mean,Arctic Standard Deviation,Arctic Coefficient of Variation,Arctic Maximum GEOLON,Arctic Maximum GEOLAT,Arctic Maximum AACGMLON,Arctic Maximum AACGMLAT,Antarctic Maximum,Antarctic Mean,Antarctic Standard Deviation,Antarctic Coefficient of Variation,Antarctic Maximum GEOLON,Antarctic Maximum GEOLAT,Antarctic Maximum AACGMLON,Antarctic Maximum AACGMLAT
Bx,2015-04-02 19:11:42,2015-04-02 20:41:42,2.5,3,134384.33368778144,Error,99383.85772660597,16.73903817494531,36470.664913102795,86155.31268940521,0.4133774898481989,81244.87211266156,0.26063535028852963,102689.83684146119,53627.74817230524,0.2750734067558968,0.2422207235039987,Error,152040.57389080766,83142.18316477121,69760.92132852816,152040.57389080766,89890.03045274304,32870.02275236509,36.56692804175376,302.82,74.57,41.92,80.69,16.73903817494531,3.586069029068387,6.576763514206533,183.39757157198642,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:11:42,2015-04-02 20:41:42,2.5,3,41045.350573868134,Error,78633.70724767122,8.497823961507128,130034.36548630217,70266.31504732807,0.47673019849685006,155678.29762555566,0.39592377212786567,151677.644210283,102415.84939636505,0.47186670788205526,0.4104827121758883,Error,164017.81086202164,126499.2197276339,181485.8333578679,181485.8333578679,120175.43935348967,43433.579880753714,36.141810768002394,290.77,77.47,29.24,84.72,8.497823961507128,2.0505654704379577,3.223789692287635,157.21466779595684,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:11:42,2015-04-02 20:41:42,2.5,3,22447.601213680144,Error,72189.71982948584,5.153708796884485,95121.10221849004,71738.13799102759,0.1281194234150059,429271.3361778522,0.13105002200523994,146251.27252657354,108732.44757780709,0.08422561189453819,0.04060088375776499,Error,31611.75994691569,51534.791085742974,41318.5850613482,429271.3361778522,107021.67536289233,113235.00716239249,105.80567607303082,306.43,67.93,38.19,73.99,5.153708796884485,1.1075409475914069,2.0233541800935817,182.68888247371925,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:13:00,2015-04-02 20:43:00,2.5,3,123546.62921430657,Error,96857.44627989775,16.148180642438895,37924.81058096525,88346.77403393021,0.3738590687687545,74115.52061508325,0.28804257382118487,86699.1497439347,45326.73170913534,0.286061644076901,0.24353997232491026,Error,156908.7151817881,83487.56836614167,68988.35331843031,156908.7151817881,86220.16990436132,33111.44618042672,38.403364569050595,302.82,74.57,41.92,80.69,16.148180642438895,3.4679367802861294,6.340263284919607,182.8252268311676,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:13:00,2015-04-02 20:43:00,2.5,3,42430.47002009919,Error,82727.79988667839,10.329689252787292,137448.70744950068,76144.29992879505,0.45225873002349704,163932.80363994677,0.3890001441007771,162665.7582357729,109747.53020842423,0.4728290201838329,0.42014271394806607,Error,182246.78941055678,144517.88904355504,201243.34297520228,201243.34297520228,130310.53907985313,48479.68470710131,37.203195573761995,290.77,77.47,29.24,84.72,10.329689252787292,2.4127839722086923,3.958555136153039,164.06587501198163,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:13:00,2015-04-02 20:43:00,2.5,3,27454.285351455135,Error,73308.82166257568,3.826424351195795,91128.54512181369,66323.21624096528,0.12455517897243272,422437.10433881154,0.1257592023932098,158822.24858192983,113605.5764432944,0.08597192377265449,0.044049356764648294,Error,33500.04961631773,55211.288310127915,41894.342944680524,422437.10433881154,108368.54786119718,111311.81277319702,102.7159770709207,306.43,67.93,38.19,73.99,3.826424351195795,0.8413520026197482,1.4928374486840046,177.4331604412544,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:21:59,2015-04-02 20:51:59,2.5,3,308879.71349700994,Error,183863.3409813264,14.693438020787505,163241.2332905536,239280.4148133072,0.3374751214005627,81073.51572317448,0.27347447641034317,59333.63100092968,52576.10554217319,0.2696090367813619,0.2331712720048263,Error,179312.48640181078,85064.56722347403,73286.06931158746,308879.71349700994,142591.10777853464,82103.84916450274,57.57992236936844,310.32,62.0,39.05,67.41,14.693438020787505,3.1614335854769195,5.766099980323466,182.38877472586913,12.25,-83.34,36.39,-70.83
By,2015-04-02 19:21:59,2015-04-02 20:51:59,2.5,3,50507.51651501175,Error,147545.3220373791,5.822978315504581,249831.3129376512,207805.68467434536,0.4966254206867746,350324.99592796265,0.47382996252588877,357476.90220848384,278632.2784728805,0.5591298297638075,0.5235390896890914,Error,416046.5693145212,404023.1457474786,476083.5229240225,476083.5229240225,293827.72507597366,125582.82306224907,42.740290430311745,290.77,77.47,29.24,84.72,5.822978315504581,1.5752205236340286,2.1240691589150784,134.84265390441067,12.25,-83.34,36.39,-70.83
Bz,2015-04-02 19:21:59,2015-04-02 20:51:59,2.5,3,66543.56321654428,Error,130328.72379988013,3.4814387590557536,189637.58815465175,66978.70757852546,0.12037784574683193,744755.8117891329,0.12127235877119555,402927.44905889063,199554.54782454442,0.07754703191043133,0.04377942835164359,Error,39721.540092788484,95224.19536367846,37777.58861181042,744755.8117891329,197344.9715490447,210075.74026848265,106.45102260245534,306.43,67.93,38.19,73.99,3.4814387590557536,0.7688830847671713,1.3565867339837696,176.43602270097585,12.25,-83.34,36.39,-70.83
Bx,2015-04-02 19:23:17,2015-04-02 20:53:17,2.5,3,362967.1636790304,Error,212981.71004789686,22.544147841065957,199585.45184261314,273809.8195811422,0.3567943829158343,76955.29387211715,0.2495469062367991,65051.120875201996,63946.545203371395,0.266012924558481,0.22475104540583146,Error,172476.50412089794,86085.93627275368,77260.3316303135,362967.1636790304,159111.98771253382,98039.43708474087,61.6166251796614,310.32,62.0,39.05,67.41,22.544147841065957,4.72825062003658,8.908060215883065,188.40076239051277,12.25,-83.34,36.39,-70.83
